cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag,gene,panel_group,ranking_direction,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides_global,protein_quantified_peptides_global,rna_status,protein_status,rna_abundance_percentile,protein_abundance_percentile,rna_abundance_rank_desc,protein_abundance_rank_desc,rna_n_measured_models,protein_n_measured_models
VOA12539,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA12539,1,True,True,True,False,False,VOA12539p41,p41,NA,2.0,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.3,77.8,69.5,20974.0,7758.0,7.9,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA295,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA295,1,True,True,True,False,False,VOA295p31,p31,NA,2.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,86.9,90.1,78.3,21057.0,7758.0,7.9,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.00931554,0.013377271399021843,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.8333333333333334,NA,6.0,NA,31,0
VOA4841,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA4841,1,True,True,True,False,False,VOA4841p43,p43,NA,3.0,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,85.8,86.3,74.0,20912.0,7562.0,10.3,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,assay unavailable,0.4,NA,7.0,NA,31,0
TOV112D,EC,Endometrioid carcinoma (historical grouping),Published reassignment to dedifferentiated ovarian carcinoma; retained in the historical EC group for analysis.,CHUM,TOV112D,1,True,True,True,True,True,TOV112Dp63,p63,P83,4.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.1,51.3,46.7,19841.0,7694.0,8.7,133.0,0.233,CVCL_3612,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA4395,EC,Endometrioid carcinoma (historical grouping),consensus,BC Cancer-OVCARE,VOA4395,1,True,True,True,False,False,VOA4395p39-40,p39-40,NA,1.0,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.6,50.9,45.1,19686.0,7738.0,8.2,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
TOV2414,MC,Mucinous carcinoma,consensus,CHUM,TOV2414,1,True,True,True,True,True,TOV2414p69,p69,P65,5.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.9,83.4,77.5,19582.0,7653.0,9.2,142.0,0.331,CVCL_A1SR,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA8762,MC,Mucinous carcinoma,consensus,BC Cancer-OVCARE,VOA8762,1,True,True,True,False,False,VOA8762p27,p27,NA,4.0,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,85.8,87.2,74.8,21788.0,7694.0,8.7,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA8771,MC,Mucinous carcinoma,consensus,BC Cancer-OVCARE,VOA8771,1,True,True,True,False,False,VOA8771p28,p28,NA,5.0,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.1,74.7,65.8,21476.0,7653.0,9.2,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA5217,MMMT,Carcinosarcoma,consensus,BC Cancer-OVCARE,VOA5217,1,True,True,True,False,False,VOA5217p36,p36,NA,4.0,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.9,49.1,44.1,19788.0,7694.0,8.7,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA5436,MMMT,Carcinosarcoma,consensus,BC Cancer-OVCARE,VOA5436,1,True,True,True,False,False,VOA5436p35,p35,NA,5.0,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.8,81.9,72.7,20464.0,7653.0,9.2,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
BIN67,SCCOHT,"Small cell carcinoma of the ovary, hypercalcaemic type",consensus,OHRI,BIN67,1,True,True,True,False,False,BIN67p51,p51,NA,3.0,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,87.9,50.5,44.4,20270.0,7562.0,10.3,NA,NA,CVCL_S987,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
COV434,SCCOHT,"Small cell carcinoma of the ovary, hypercalcaemic type",consensus,BC Cancer-OVCARE,COV434,1,True,True,True,False,False,COV434p46,p46,NA,1.0,ch10,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.1,52.6,46.8,20184.0,7738.0,8.2,NA,NA,CVCL_2010,True,"Misclassified. Originally thought to be an ovarian granulosa cell tumor but seems to be a small cell carcinoma of the ovary, hypercalcemic type (SCCOHT) (PubMed=33328126).",DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,ESR1,Endocrine,higher,ENSG00000091831,NA,NA,12.51004856917754,ESR1,P03372,True,3,3,assay unavailable,quantified,NA,0.6,NA,13.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,ESR1,Endocrine,higher,ENSG00000091831,6.6462618,2.934754597386222,NA,ESR1,P03372,True,3,3,measured,assay unavailable,0.9,NA,4.0,NA,31,31
OV1369-R2,HGS,High-grade serous carcinoma,consensus,CHUM,1369,2,True,True,True,True,True,OV1369R2p69,p69,P66,1.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.1,81.3,75.7,19767.0,7738.0,8.2,280.0,0.859,CVCL_9T12,True,NA,PGR,Endocrine,higher,ENSG00000082175,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.3333333333333333,NA,11.0,NA,31,0
OV1946,HGS,High-grade serous carcinoma,consensus,CHUM,OV1946,1,True,True,True,False,False,OV1946p64,p64,NA,5.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.1,48.5,44.6,20074.0,7653.0,9.2,NA,NA,CVCL_4375,True,NA,PGR,Endocrine,higher,ENSG00000082175,0.6451662,0.7182333370328082,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.9666666666666667,NA,2.0,NA,31,0
OV2085,HGS,High-grade serous carcinoma,consensus,CHUM,OV2085,1,True,True,True,True,True,OV2085p68,p68,P64,2.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.2,87.7,80.8,20470.0,7758.0,7.9,207.0,0.681,CVCL_A1SI,True,NA,PGR,Endocrine,higher,ENSG00000082175,0.00513281,0.007386139881130633,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.7666666666666667,NA,8.0,NA,31,0
